"...1","Site","Clinic","Participation"
2020-10-01,"26","John West/Buckner",4214
2020-10-01,"30","Duncanville",2440
2020-10-01,"32","West Garland",4612
2020-10-01,"34","Medical District",241
2020-10-01,"37","Abrams Road",3765
2020-10-01,"39","Mesquite",3074
2020-11-01,"1","MLK Center",0
2020-11-01,"3","Westmoreland",3788
2020-11-01,"5","Lake June",7804
2020-11-01,"7","Carrollton",1916
2020-11-01,"8","Grand Prairie",3864
2020-11-01,"9","Irving",6517
2020-11-01,"10","Highland Hills",1
2020-11-01,"11","East Garland",4375
2020-11-01,"17","Northwest Highway",2827
2020-11-01,"24","North Dallas",5431
2020-11-01,"25","Ledbetter",8866
2020-11-01,"26","John West/Buckner",4128
2020-11-01,"30","Duncanville",2456
2020-11-01,"32","West Garland",4571
2020-11-01,"34","Medical District",270
2020-11-01,"37","Abrams Road",3758
2020-11-01,"39","Mesquite",3102
2020-12-01,"1","MLK Center",0
2020-12-01,"3","Westmoreland",3748
2020-12-01,"5","Lake June",7685
2020-12-01,"7","Carrollton",1800
2020-12-01,"8","Grand Prairie",3889
2020-12-01,"9","Irving",6523
2020-12-01,"10","Highland Hills",0
2020-12-01,"11","East Garland",4386
2020-12-01,"17","Northwest Highway",2876
2020-12-01,"24","North Dallas",5487
2020-12-01,"25","Ledbetter",8849
2020-12-01,"26","John West/Buckner",4101
2020-12-01,"30","Duncanville",2480
2020-12-01,"32","West Garland",4473
2020-12-01,"34","Medical District",325
2020-12-01,"37","Abrams Road",3758
2020-12-01,"39","Mesquite",3071
2021-01-01,"1","MLK Center",0
2021-01-01,"3","Westmoreland",3808
2021-01-01,"5","Lake June",7640
2021-01-01,"7","Carrollton",1376
2021-01-01,"8","Grand Prairie",3780
2021-01-01,"9","Irving",6605
2021-01-01,"10","Highland Hills",0
2021-01-01,"11","East Garland",4401
2021-01-01,"17","Northwest Highway",2967
2021-01-01,"24","North Dallas",5585
2021-01-01,"25","Ledbetter",8775
2021-01-01,"26","John West/Buckner",4055
2021-01-01,"30","Duncanville",2439
2021-01-01,"32","West Garland",4337
2021-01-01,"34","Medical District",310
2021-01-01,"37","Abrams Road",3739
2021-01-01,"39","Mesquite",3051
2021-02-01,"1","MLK Center",0
2021-02-01,"3","Westmoreland",3697
2021-02-01,"5","Lake June",7346
2021-02-01,"7","Carrollton",808
2021-02-01,"8","Grand Prairie",3712
2021-02-01,"9","Irving",6548
2021-02-01,"10","Highland Hills",0
2021-02-01,"11","East Garland",4335
2021-02-01,"17","Northwest Highway",3060
2021-02-01,"24","North Dallas",5664
2021-02-01,"25","Ledbetter",8332
2021-02-01,"26","John West/Buckner",3846
2021-02-01,"30","Duncanville",2371
2021-02-01,"32","West Garland",4254
2021-02-01,"34","Medical District",289
2021-02-01,"37","Abrams Road",3593
2021-02-01,"39","Mesquite",2934
2021-03-01,"1","MLK Center",0
2021-03-01,"3","Westmoreland",3769
2021-03-01,"5","Lake June",7462
2021-03-01,"7","Carrollton",349
2021-03-01,"8","Grand Prairie",3745
2021-03-01,"9","Irving",6756
2021-03-01,"10","Highland Hills",0
2021-03-01,"11","East Garland",4377
2021-03-01,"17","Northwest Highway",3269
2021-03-01,"24","North Dallas",5940
2021-03-01,"25","Ledbetter",8387
2021-03-01,"26","John West/Buckner",3951
2021-03-01,"30","Duncanville",2384
2021-03-01,"32","West Garland",4291
2021-03-01,"34","Medical District",264
2021-03-01,"37","Abrams Road",3653
2021-03-01,"39","Mesquite",2952
2021-04-01,"1","MLK Center",0
2021-04-01,"3","Westmoreland",3778
2021-04-01,"5","Lake June",7544
2021-04-01,"7","Carrollton",6
2021-04-01,"8","Grand Prairie",3730
